id_escola;Nome;Cluster;Status da Escola;Adimplência Contratual;Adimplência Financeira;Vendas SLM 2025;Direito a voucher;;Habilitação Voucher;Qtd. Vouchers;Código do voucher;Voucher enviado ;Observação
68;Maple Bear Porto Velho - Olaria I;Alta Performance;Ativa;Sim;Sim;257;Sim;;5%;13;MBRO2026101;SIM;45 vouchers unidades I e II codigo MBRO2026101
682;Maple Bear Araguari - Miranda I;Potente;Ativa;Sim;Sim;32;Sim;;5%;2;MBMG2026298;SIM;
685;Maple Bear Campinas - Barão Geraldo I;Potente;Ativa;Sim;Sim;29;Sim;;5%;1;MBSP2026297;SIM;
69;Maple Bear Porto Velho - Olaria II;Alta Performance;Ativa;Sim;Sim;643;Sim;;5%;32;MBRO2026101;SIM;45 vouchers unidades I e II codigo MBRO2026101
691;Maple Bear Lucas Do Rio Verde - Alvorada;Alerta;Ativa;Sim;ROY;86;Sim;;5%;4;MBMT2026282;SIM;Ana 05/08: Voucher enviado de acordo com o retorno da Cyndi no e-mail Atualizar Status financeiro onde ela nos passou atualizações sobre negociação e/ou quitação de pendências das unidades. 
694;Maple Bear Jaraguá Do Sul - Vila Baependi I;Potente;Ativa;Sim;Sim;76;Sim;;5%;4;MBSC2026287;SIM;
695;Maple Bear São Paulo - Vila Mascote I;Desenvolvimento;Ativa;Sim;Sim;178;Sim;;5%;9;MBSP2026173;SIM;
698;Maple Bear Guarapari - Muquiçaba;Desenvolvimento;Ativa;Sim;FDMP;135;Sim;;5%;7;MBES2026242;SIM;"e-mail enviado dia 04/08
Ana 04/08: Werik respondeu o e-mail perguntando o que está pendente e eu respondi informando que a Cyndi vai chamá-lo por whatsapp para dar os devidos detalhes. 
Ana 08/09: Cyndi informou pessoalmente para Ana que essa escola não tem pendência "
70;Maple Bear Boa Vista - Caçari I;Desenvolvimento;Ativa;Sim;Sim;194;Sim;;5%;10;MBRR2026161;SIM;
701;Maple Bear Santos - Campo Grande;Desenvolvimento;Ativa;Sim;Sim;480;Sim;;5%;24;MBSP2026122;SIM;
707;Maple Bear Petrolina - Vila Eduardo I;Potente;Ativa;Sim;Sim;296;Sim;;5%;15;MBPE2026284;SIM;Conforme e-mail do Rodrigo em 29/08: VOUCHER DE DESCONTO - CICLO 2026 MAPLE BEAR PETROLINA ele solicitou o desmembramento de vouchers sendo 9 vouchers de 20% e 5 vouchers de 50%. Por conta da soma do desmembramento, tive que criar um voucher de 70%. 
71;Maple Bear Porto Alegre - Iguatemi;Desenvolvimento;Ativa;Sim;ROY/FDMP;152;Não ;;5%;8;MBRS2026308;;"e-mail enviado dia 04/08
Ana 12/08: Cyndi mandou dia 08/08 um email para a escola com os detalhes das pendências financeiras e se colocando a disposição para conversarem sobre um acordo para pagamento"
710;Maple Bear Macapá - Centro;Implantação;Ativa;Não;Sim;72;Sim;;5%;4;MBAP2026370;SIM;
713;Maple Bear Cascavel - Centro;Alerta;Ativa;Sim;ROY/FDMP;48;Não ;;5%;2;MBPR2026296;;e-mail enviado dia 04/08
716;Maple Bear Assis - Jardim Morumbi;Alerta;Ativa;Sim;ROY/FDMP;126;Sim;;5%;6;MBSP2026299;Sim;"e-mail enviado dia 04/08 Rafha 18/12/2025 Vouchers liberados devido a uma reunião com Assis a pouco para falarmos de INAD e conversei com o Visoni para liberarmos os vouchers da unidade pois eles tiveram um problema com a empresa de Arquitetura homologada por nós a qual nosso jurídico está cuidando do tema
Ana 12/08: Ramires mandou um e-mail falando pra suspender as cobranças de roy futuras dessa escola, mas a Cyndi respondeu que ok, mas que seguirá com as cobranças passadas.
Ana 12/08: Larissa do time financeiro mandou no dia 30/07  um e-mail com o detalhamento das pendências financeiras por parte da escola. Como não obteve retorno, fez um cobrança no dia 08/08."
719;Maple Bear Barretos - Campos Do Conde I;Potente;Ativa;Sim;Sim;101;Sim;;5%;5;MBSP2026293;SIM;
722;Maple Bear Duque De Caxias - Jardim 25 De Agosto I;Potente;Ativa;Sim;Sim;59;Sim;;5%;3;MBRJ2026303;SIM;
725;Maple Bear Cuiabá - Jardim Itália;Alta Performance;Ativa;Sim;Sim;74;Sim;;5%;4;MBMT2026295;SIM;
728;Maple Bear Passos - Centro I;Potente;Ativa;Sim;Sim;36;Sim;;5%;2;MBMG2026301;SIM;
73;Maple Bear Balneário Camboriú - Centro;Alerta;Ativa;Sim;ROY;147;Sim;;5%;7;MBSC2026180;SIM;Ana 05/08: Voucher enviado de acordo com o retorno da Cyndi no e-mail Atualizar Status financeiro onde ela nos passou atualizações sobre negociação e/ou quitação de pendências das unidades. 
733;Maple Bear Aracaju - Atalaia;Implantação;Ativa;Sim;ROY/FDMP;172;Não ;;5%;9;MBSE2026350;SIM;"e-mail enviado dia 04/08
Ana 19/08: Cyndi mandou em 18/08 um e-mail ao Lauro e ao Victor detalhando os débitos  
Ana 18/09: Cyndi confirmou no grupo que temos com o financeiro que a escola negociou os débitos que tinha com a central "
736;Maple Bear Gramado - Planalto I;Implantação;Ativa;Sim;Sim;34;Sim;;5%;2;MBRS2026310;SIM;
739;Maple Bear São Paulo - Pompéia II;Potente;Ativa;Sim;Sim;152;Sim;;5%;8;MBSP2026156;SIM;12 vouchers para unidades I e II MBSP2026156
74;Maple Bear Florianópolis - Continente I;Desenvolvimento;Ativa;Sim;ROY/FDMP;284;Sim;;5%;14;MBSC2026136;SIM;"Ana 24/07:Cyndi enviou para a escola em 23/07 um relatório detalhado das pendências financeiras.
Ana 31/07: Cyndi formalizou um e-mail para Edilane no dia 30/07 com informações sobre o acordo firmado. Conferir os dados para saber se podemos liberar os vouchers no dia 01/08. 
Ana 01/08: Diante do acordo firmado, fiz a liberação dos vouchers da escola"
742;Maple Bear Conselheiro Lafaiete - Areal;Implantação;Ativa;Sim;Sim;5;Não ;;5%;0;;NÃO;Ana 01/08: Essa escola ainda não possui alunos. Os SLM's comprados são de implantação, portanto os vouchers de amostra já foram disponibilizados.
745;Maple Bear Blumenau - Velha I;Alerta;Ativa;Sim;Sim;97;Sim;;5%;6;MBSC2026286;SIM;
748;Maple Bear Vitória - Bento Ferreira;Desenvolvimento;Ativa;Sim;ROY;174;Sim;;5%;9;MBES2026189;SIM;Ana 01/08: Cyndi confirmou via Teams (grupo financeiro) que paras as escolas próproas não há cobrança e que são insentas de cobrança
75;Maple Bear Joinville - Atiradores;Desenvolvimento;Ativa;Sim;ROY;187;Sim;;5%;9;MBSC2026213;SIM;Ana 05/08: Voucher enviado de acordo com o retorno da Cyndi no e-mail Atualizar Status financeiro onde ela nos passou atualizações sobre negociação e/ou quitação de pendências das unidades. 
751;Maple Bear Contagem - Três Barras II;Potente;Ativa;Sim;Sim;71;Sim;;5%;4;MBMG2026239;SIM;voucher unico unidades I e II MBMG2026239 8 vouchers
757;Maple Bear João Pessoa - Altiplano I;Potente;Ativa;Sim;Sim;49;Sim;;6%;3;MBPB2026288;SIM;Ana 04/08: Gustavo me chamou para alinhar que o % de vouchers da escola dele é de 6% e não 5% como as demais. Questionei o Ramires no grupo Teams ''operações liderança'' e ele respondeu que é isso mesmo. 
76;Maple Bear Aracaju - Treze De Julho I;Desenvolvimento;Ativa;Sim;Sim;352;Sim;;5%;18;MBSE2026195;SIM;unidades I e II codigo unico MBSE2026195 25 vouchers
760;Maple Bear Niterói - Santa Rosa;Desenvolvimento;Ativa;Não;ROY;34;Não ;;5%;2;MBRJ2025202;SIM;"12 vouchers unidades I e II santa rosa e são francisco codigo MBRJ2026202
Ana 26/09: Cyndi me chamou no whats informando que a escola quitou as pendencias financeiras e que poderiamos liberar os vouchers"
